City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,paragominas,-2.9667,-47.4833,22.57,98,100,1.92,BR,2023-04-19 02:41:24
124,oodweyne,9.4092,45.064,22.22,43,28,3.2,SO,2023-04-19 02:41:25
125,al jaradiyah,16.5795,42.9124,27.72,69,2,1.98,SA,2023-04-19 02:41:25
126,enewetak,11.3474,162.3373,26.95,75,97,9.48,MH,2023-04-19 02:36:46
127,new norfolk,-42.7826,147.0587,13.17,63,72,1.79,AU,2023-04-19 02:37:09
128,tianpeng,30.9866,103.9393,27.02,54,0,1.56,CN,2023-04-19 02:41:25
129,margaret river,-33.95,115.0667,18.65,42,0,2.37,AU,2023-04-19 02:36:45
130,chehalis,46.662,-122.964,6.06,94,75,4.12,US,2023-04-19 02:41:25
131,yelizovo,53.1873,158.3805,4.08,69,75,8.05,RU,2023-04-19 02:41:26
132,rongelap,11.1635,166.8941,26.66,78,100,9.97,MH,2023-04-19 02:37:05
133,torre de moncorvo,41.1792,-7.0358,12.62,57,97,0.45,PT,2023-04-19 02:41:26
134,shingu,33.7333,135.9833,22.36,69,100,0.82,JP,2023-04-19 02:36:37
135,isafjordur,66.0755,-23.124,7.02,96,100,1.4,IS,2023-04-19 02:36:53
136,brisas de zicatela,15.8369,-97.0419,28.29,74,40,3.09,MX,2023-04-19 02:37:15
137,alaghsas,17.0187,8.0168,28.85,9,0,3.49,NE,2023-04-19 02:37:34
138,masterton,-40.9597,175.6575,16.6,97,100,2.25,NZ,2023-04-19 02:37:18
139,alta,69.9689,23.2717,7.59,76,75,8.75,NO,2023-04-19 02:41:26
140,kargasok,59.0556,80.8572,-8.97,83,99,5.24,RU,2023-04-19 02:41:26
141,ribeira grande,38.5167,-28.7,15.43,76,92,7.6,PT,2023-04-19 02:36:50
142,kargat,55.1956,80.2811,-5.66,63,6,4.8,RU,2023-04-19 02:41:26
143,ilulissat,69.2167,-51.1,-3.99,86,100,4.63,GL,2023-04-19 02:36:46
144,tazacorte,28.629,-17.9293,17.54,79,31,2.06,ES,2023-04-19 02:37:21
145,singkil,-7.9855,111.4161,30.29,60,14,1.74,ID,2023-04-19 02:41:26
146,port lavaca,28.615,-96.6261,24.03,81,100,6.17,US,2023-04-19 02:41:27
147,paita,-5.0892,-81.1144,26.5,77,61,4.73,PE,2023-04-19 02:37:17
148,tsiombe,-25.3,45.4833,22.36,84,1,5.38,MG,2023-04-19 02:36:53
149,kiunga,-6.1219,141.2906,24.28,90,97,1.26,PG,2023-04-19 02:37:03
150,dunedin,-45.8742,170.5036,14.33,80,71,1.34,NZ,2023-04-19 02:40:05
151,boaco,12.4722,-85.6586,23.92,68,99,3.43,NI,2023-04-19 02:38:32
152,ugoofaaru,5.6667,73.0,28.29,74,21,2.81,MV,2023-04-19 02:41:27
153,aykhal,66.0,111.5,-5.83,91,100,5.22,RU,2023-04-19 02:36:49
154,acarau,-2.8856,-40.12,25.13,87,96,2.42,BR,2023-04-19 02:37:10
155,rio preto da eva,-2.6994,-59.6997,23.08,98,100,1.8,BR,2023-04-19 02:41:27
156,laguna,38.421,-121.4238,15.99,36,0,5.66,US,2023-04-19 02:37:08
157,codrington,-38.2667,141.9667,14.65,54,81,7.4,AU,2023-04-19 02:37:27
158,sao joao da barra,-21.6403,-41.0511,26.34,78,100,3.53,BR,2023-04-19 02:41:27
159,beihai,21.4833,109.1,26.72,82,73,2.61,CN,2023-04-19 02:41:28
160,muisne,0.6,-80.0333,26.05,86,100,0.48,EC,2023-04-19 02:41:28
161,tofol,5.3248,163.0078,28.88,70,75,4.12,FM,2023-04-19 02:41:28
162,bardai,11.65,7.2333,26.94,47,67,4.74,NG,2023-04-19 02:41:28
163,geraldton,-28.7667,114.6,26.23,34,0,8.75,AU,2023-04-19 02:41:28
164,klyuchi,52.2667,79.1667,-5.8,61,5,4.27,RU,2023-04-19 02:36:42
165,gebeit,21.0667,36.3167,20.32,20,0,1.84,SD,2023-04-19 02:41:28
166,fale old settlement,-9.3852,-171.2468,28.38,70,96,1.82,TK,2023-04-19 02:37:08
167,lijiang,26.8688,100.2207,21.56,30,0,2.13,CN,2023-04-19 02:36:59
168,crane,31.3974,-102.3501,23.49,8,0,3.51,US,2023-04-19 02:32:10
